"","ts_code","trade_date","close","open","high","low","pre_close","change","pct_chg","vol","amount"
"192","000001.SH",2019-02-19,2755.6459,2759.496,2780.7837,2737.5864,2754.3566,1.2893,0.0468,288046271,247121050.5
"193","000001.SH",2019-02-18,2754.3566,2699.8171,2754.3566,2699.8171,2682.385,71.9716,2.6831,260436007,224184077.2
"194","000001.SH",2019-02-15,2682.385,2712.7862,2715.6321,2679.7849,2719.6999,-37.3149,-1.372,196004265,169823260.3
"195","000001.SH",2019-02-14,2719.6999,2715.5358,2729.455,2707.4865,2721.0683,-1.3684,-0.0503,197037349,170330837.1
"196","000001.SH",2019-02-13,2721.0683,2674.5198,2727.075,2666.522,2671.8937,49.1746,1.8404,243794010,207125315.9
"197","000001.SH",2019-02-12,2671.8937,2654.0349,2674.4778,2648.8295,2653.896,17.9977,0.6782,184101179,156741540.4
"198","000001.SH",2019-02-11,2653.896,2613.1742,2654.0964,2613.1742,2618.2323,35.6637,1.3621,154898858,137307190
"199","000001.SH",2019-02-01,2618.2323,2597.7777,2618.4765,2590.5543,2584.5724,33.6599,1.3023,131986850,111522628.3
"200","000001.SH",2019-01-31,2584.5724,2581.3315,2606.6283,2571.5789,2575.5756,8.9968,0.3493,154303869,126013247.4
"201","000001.SH",2019-01-30,2575.5756,2584.7459,2598.815,2575.4091,2594.2536,-18.678,-0.72,120502571,101103927.5
"202","000001.SH",2019-01-29,2594.2536,2592.3549,2601.7358,2559.982,2596.9767,-2.7231,-0.1049,155581112,126749049.4
"203","000001.SH",2019-01-28,2596.9767,2615.7118,2630.3183,2591.1,2601.7234,-4.7467,-0.1824,146981765,127465636.7
"204","000001.SH",2019-01-25,2601.7234,2596.2618,2617.0022,2595.6294,2591.6935,10.0299,0.387,159394026,135415167.7
"205","000001.SH",2019-01-24,2591.6935,2584.6481,2597.2894,2569.7004,2581.0041,10.6894,0.4142,154042046,131575040.3
"206","000001.SH",2019-01-23,2581.0041,2575.2583,2589.5128,2572.4054,2579.7041,1.3,0.0504,131426798,105101323.6
"207","000001.SH",2019-01-22,2579.7041,2609.6421,2609.6421,2573.0617,2610.5094,-30.8053,-1.18,152537773,122995435.4
"208","000001.SH",2019-01-21,2610.5094,2599.0575,2618.9801,2599.0575,2596.0056,14.5038,0.5587,163425115,139915486.2
"209","000001.SH",2019-01-18,2596.0056,2567.7386,2598.8836,2565.9043,2559.637,36.3686,1.4208,190767237,151270430.6
"210","000001.SH",2019-01-17,2559.637,2573.5755,2582.556,2557.7114,2570.422,-10.785,-0.4196,162468134,127546126.7
"211","000001.SH",2019-01-16,2570.4221,2569.0697,2574.2362,2563.0061,2570.3449,0.0772,0.003,149301539,126876314.4
"212","000001.SH",2019-01-15,2570.3449,2537.3697,2571.5016,2532.4333,2535.7653,34.5796,1.3637,160265530,137374981.3
